"ISSN","T.tulo","Estrato","Area"
"15578100","A JOURNAL OF INTEGRATIVE BIOLOGY","C ","medicina_i"
"23188219","ABC: IMAGEM CARDIOVASCULAR","C ","medicina_i"
"23660058","ABDOMINAL RADIOLOGY (ONLINE)","B5","medicina_i"
"24720496","ABNORMAL AND BEHAVIOURAL PSYCHOLOGY","C ","medicina_i"
"1677972X","ACO�ME (UNITINS)","C ","medicina_i"
"20515960","ACTA NEUROPATHOLOGICA COMMUNICATIONS","A2","medicina_i"
"01003127","ACTA ONCOLOGICA BRASILEIRA","C ","medicina_i"
"21767521","ACTA ORTOP�DICA BRASILEIRA (IMPRESSO. ED. PORTUGU�S)","B3","medicina_i"
"08725292","ACTA PARASITOL�GICA PORTUGUESA","C ","medicina_i"
"03261921","ACTAS - ASOCIACI�N ARGENTINA DE GEOLOG�A APLICADA A LA INGENIER�A","C ","medicina_i"
"15782190","ACTAS DERMO-SIFILIOGRAFICAS","B2","medicina_i"
"15580334","ADVANCED STUDIES IN MEDICINE (ONLINE)","B5","medicina_i"
"21690499","ADVANCES IN AGING RESEARCH","B5","medicina_i"
"18974295","ADVANCES IN INTERVENTIONAL CARDIOLOGY / POST?PY W KARDIOLOGII INTERWENCYJNEJ (ONLINE)","B5","medicina_i"
"19330898","ADVANCES IN PULMONARY HYPERTENSION","B5","medicina_i"
"21645191","ADVANCES IN SEXUAL MEDICINE","B5","medicina_i"
"14325241","AESTHETIC PLASTIC SURGERY (ONLINE)","B2","medicina_i"
"14401592","ALLERGOLOGY INTERNATIONAL","B1","medicina_i"
"01032992","AMBITO HOPITALAR","C ","medicina_i"
"15457214","AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY (ONLINE)","B1","medicina_i"
"14219670","AMERICAN JOURNAL OF NEPHROLOGY (ONLINE)","B1","medicina_i"
"10976868","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (ONLINE)","A1","medicina_i"
"15463141","AMERICAN JOURNAL OF ROENTGENOLOGY","B1","medicina_i"
"21610940","ANATOMY & PHYSIOLOGY","C ","medicina_i"
"23739258","ANNALS OF CLINICAL AND EXPERIMENTAL HYPERTENSION","C ","medicina_i"
"20490801","ANNALS OF MEDICINE AND SURGERY","B3","medicina_i"
"19805578","APPLIED CANCER RESEARCH (ONLINE)","C ","medicina_i"
"14509520","ARCHIVE OF ONCOLOGY","B4","medicina_i"
"18969151","ARCHIVES OF MEDICAL SCIENCE (ONLINE)","B2","medicina_i"
"23225769","ARCHIVES OF NEUROSCIENCE","B5","medicina_i"
"24555495","ARCHIVES OF RENAL DISEASES AND MANAGEMENT","B5","medicina_i"
